Tempo,max,n_filmes,n_cat,tamanho,horas
19150483,99,50000,15,24,24
20246174,165,47500,17,24,24
21021673,228,50000,19,24,24
18648321,13,50000,5,13,13
25058011,188,60000,21,24,24
24587982,112,60000,15,24,24
24753277,145,47500,18,24,24
26049352,13,60000,6,13,13
22662902,14,52500,5,14,14
22553575,16,55000,6,16,16
21093162,60,50000,10,24,24
23126581,15,52500,7,15,15
20709767,146,45000,16,24,24
28358319,190,52500,18,24,24
24298654,269,55000,22,24,24
21138141,309,52500,24,24,24
19559971,64,52500,12,24,24
21746065,267,55000,21,24,24
20061576,70,50000,11,24,24
24519994,14,60000,5,14,14
19313467,36,47500,7,24,24
22409826,54,60000,9,24,24
20913442,51,55000,10,24,24
21287699,252,47500,22,24,24
24319430,56,60000,10,24,24
21861397,302,57500,23,24,24
18028334,57,47500,9,24,24
25293615,267,55000,23,24,24
18514532,44,45000,8,24,24
20523985,84,47500,13,24,24
26880832,30,55000,7,24,24
20268208,26,52500,6,24,24
25846686,329,57500,25,24,24
17432373,99,47500,14,24,24
17379799,82,45000,12,24,24
19040789,35,50000,8,24,24
19998604,54,45000,10,24,24
22856863,331,45000,25,24,24
18625100,204,47500,19,24,24
22119173,38,57500,7,24,24
23405819,92,55000,14,24,24
17189316,65,47500,11,24,24
31457772,238,60000,22,24,24
22970569,41,55000,9,24,24
20717485,128,52500,14,24,24
17662922,150,45000,18,24,24
21412009,184,50000,21,24,24
20611490,37,55000,8,24,24
22584491,155,55000,18,24,24
23312556,217,60000,20,24,24
23026480,180,57500,19,24,24
17087022,14,45000,5,14,14
17326259,96,45000,13,24,24
23056152,259,57500,24,24,24
21038318,55,47500,10,24,24
17573033,93,45000,15,24,24
20577320,105,50000,12,24,24
18444475,306,47500,23,24,24
16965159,288,45000,23,24,24
21538651,42,52500,8,24,24
19218376,107,50000,14,24,24
22481394,123,60000,16,24,24
20364931,322,50000,23,24,24
28224441,199,60000,19,24,24
20899607,323,50000,25,24,24
21572332,112,52500,15,24,24
18801598,171,45000,17,24,24
19463013,324,45000,24,24,24
18891975,156,45000,19,24,24
20584817,60,52500,10,24,24
34550638,55,60000,14,24,24
22146359,125,52500,16,24,24
22778813,103,47500,16,24,24
21934036,13,57500,5,13,13
23154604,268,60000,23,24,24
23625089,68,57500,13,24,24
20659089,95,55000,13,24,24
21860174,81,52500,13,24,24
22042563,298,52500,22,24,24
23377648,132,52500,17,24,24
24013791,83,57500,12,24,24
21751891,35,50000,9,24,24
21625539,35,57500,8,24,24
19837323,20,50000,6,20,20
26406314,73,55000,11,24,24
16963780,24,45000,6,24,24
24262465,226,52500,23,24,24
19149413,35,50000,7,24,24
26223071,148,60000,18,24,24
22993416,176,55000,19,24,24
26074249,278,57500,22,24,24
29873547,347,60000,25,24,24
23181902,168,57500,17,24,24
22970321,43,47500,8,24,24
21483815,248,50000,20,24,24
27348660,267,47500,21,24,24
18095397,207,45000,21,24,24
22792351,162,57500,16,24,24
26345403,16,57500,6,16,16
20371856,127,50000,16,24,24
23697426,273,60000,24,24,24
25768191,88,57500,11,24,24
19416157,175,52500,19,24,24
25655576,218,57500,20,24,24
21644614,78,55000,12,24,24
22201252,86,52500,11,24,24
20603372,30,45000,7,24,24
17633115,315,45000,22,24,24
24017140,39,60000,8,24,24
22657132,183,57500,21,24,24
20406140,76,47500,12,24,24
17719930,212,47500,20,24,24
21081519,268,47500,24,24,24
26349808,88,60000,12,24,24
17912168,58,45000,11,24,24
23027773,26,47500,6,24,24
22475956,27,60000,7,24,24
24025673,208,45000,20,24,24
19557293,45,45000,9,24,24
25582841,118,60000,13,24,24
28335257,164,55000,17,24,24
20895845,168,50000,17,24,24
19242354,359,47500,25,24,24
21713400,222,55000,20,24,24
25107726,18,55000,5,18,18
18100597,97,45000,14,24,24
17457747,115,47500,15,24,24
21103214,234,50000,22,24,24
20551529,33,52500,9,24,24
26315401,118,57500,15,24,24
22349684,288,55000,24,24,24
20725362,215,52500,20,24,24
25577626,86,55000,15,24,24
27747127,122,60000,17,24,24
23604670,74,60000,11,24,24
19819174,292,52500,25,24,24
23607720,51,57500,10,24,24
20202864,304,50000,24,24,24
20489020,172,50000,18,24,24
26497317,50,57500,9,24,24
22014666,349,55000,25,24,24
26210047,171,57500,18,24,24
25023924,98,57500,14,24,24
22312559,153,55000,16,24,24
22018306,217,52500,21,24,24
20827600,75,50000,13,24,24
17711948,14,47500,5,14,14
