Tempo,max,n_filmes,n_cat,tamanho,horas
21251423,168,57500,17,3,8
20725634,118,57500,15,3,9
20903060,162,57500,16,3,8
18524878,35,50000,9,5,13
20678330,60,52500,10,5,18
18589278,234,50000,22,5,12
21172924,183,57500,21,3,9
21406210,88,57500,11,3,8
17236499,30,45000,7,5,14
17753456,93,45000,15,5,14
21110831,30,55000,7,4,12
20046877,26,52500,6,4,16
21673875,35,50000,7,5,12
28874677,268,60000,23,5,15
19989391,292,52500,25,4,17
17856824,165,47500,17,5,15
19727010,112,52500,15,4,17
28052803,347,60000,25,5,14
18638002,156,45000,19,5,14
18067487,171,45000,17,5,15
20845277,38,57500,7,3,9
26948850,39,60000,8,5,13
17812196,324,45000,24,5,13
19265019,42,52500,8,5,14
18721770,20,50000,6,5,12
19052570,228,50000,19,5,13
18690523,323,50000,25,5,12
20987547,171,57500,18,3,9
27686567,199,60000,19,5,13
31888410,238,60000,22,5,14
18596711,268,47500,24,5,14
18449531,43,47500,8,5,15
18357743,105,50000,12,5,12
21736790,78,55000,12,6,17
17395519,54,45000,10,5,15
19350256,64,52500,12,4,13
18021833,315,45000,22,5,14
21002859,309,52500,24,4,16
21756049,349,55000,25,5,13
18581919,184,50000,21,5,12
20498929,16,57500,6,3,9
20397957,15,52500,7,4,13
18679182,322,50000,23,5,13
20311333,226,52500,23,4,13
20453351,51,57500,10,3,8
27471395,112,60000,15,5,14
17801532,26,47500,6,5,15
19798769,81,52500,13,4,12
21896705,288,55000,24,4,12
20727145,98,57500,14,3,9
20079241,217,52500,21,4,19
21024183,16,55000,6,5,15
17304105,14,47500,5,5,15
27527168,27,60000,7,5,13
17975104,115,47500,15,5,16
21832190,176,55000,19,5,13
21479194,269,55000,22,4,12
17648950,146,45000,16,5,14
19682685,298,52500,22,4,14
27343643,88,60000,12,5,13
18562903,75,50000,13,5,13
19891391,33,52500,9,4,17
17533482,55,47500,10,5,15
28277626,148,60000,18,5,14
18149230,207,45000,21,5,13
18052022,99,47500,14,5,15
27692554,54,60000,9,5,14
17836734,96,45000,13,5,13
27735714,123,60000,16,5,14
19566460,125,52500,16,5,12
19259190,86,52500,11,4,13
17810462,331,45000,25,5,14
18813776,304,50000,24,5,12
28260709,55,60000,14,5,15
19384022,58,45000,11,5,14
21239150,95,55000,13,4,12
18693106,248,50000,20,5,13
19016965,208,45000,20,5,13
18156123,13,50000,5,5,14
17936670,145,47500,18,5,14
21363543,86,55000,15,5,15
27373463,56,60000,10,5,14
17737494,288,45000,23,5,15
21472411,259,57500,24,3,8
19699018,99,50000,15,5,12
20600585,35,57500,8,3,8
27633371,74,60000,11,5,14
21185418,222,55000,20,5,15
21593460,155,55000,18,5,15
17687508,65,47500,11,5,16
20524694,13,57500,5,3,9
18709971,36,47500,7,5,16
17463842,24,45000,6,5,15
17831351,306,47500,23,5,16
17850357,44,45000,8,5,14
21121742,83,57500,12,3,8
22018177,267,55000,23,6,15
17977669,204,47500,19,5,16
17819024,212,47500,20,5,16
18518445,70,50000,11,5,13
18298737,84,47500,13,5,16
19567257,175,52500,19,4,17
18045699,252,47500,22,5,15
21488619,18,55000,5,5,15
19049312,60,50000,10,5,12
27739001,273,60000,24,5,16
33566467,14,60000,5,5,14
27912257,122,60000,17,5,14
17935951,14,45000,5,5,14
21330349,73,55000,11,5,15
23269988,153,55000,16,5,15
17898752,267,47500,21,5,14
21370983,37,55000,8,4,12
18829542,172,50000,18,5,13
21112713,180,57500,19,3,8
17754447,103,47500,16,5,14
18558937,168,50000,17,5,13
18267352,45,45000,9,5,13
18025951,76,47500,12,5,16
21498533,41,55000,9,6,16
18283552,35,50000,8,5,12
21092539,302,57500,23,3,8
18590304,150,45000,18,5,14
21071360,278,57500,22,3,8
19349708,14,52500,5,5,16
27531298,13,60000,6,5,14
18166909,359,47500,25,5,15
20903879,329,57500,25,3,8
27912855,217,60000,20,5,13
18022768,97,45000,14,5,15
18552225,107,50000,14,5,13
17537772,57,47500,9,5,13
22055035,164,55000,17,6,16
18639498,127,50000,16,5,12
17537095,82,45000,12,5,14
21186131,218,57500,20,3,9
24806530,50,57500,9,3,8
28173917,188,60000,21,5,13
19726671,215,52500,20,4,13
21844434,92,55000,14,6,16
19376004,128,52500,14,4,13
27345813,118,60000,13,5,15
21949135,132,52500,17,5,14
21984838,267,55000,21,5,15
21274425,51,55000,10,6,16
20594407,68,57500,13,3,8
19579783,190,52500,18,4,17
