Tempo,max,n_filmes,n_cat,tamanho,horas
27809004,273,60000,24,5,8
18517403,208,45000,20,5,10
17756847,57,47500,9,5,13
18018477,359,47500,25,5,13
18222566,165,47500,17,5,13
18423471,35,50000,9,4,7
20470265,248,50000,20,4,7
17381404,14,47500,5,5,13
18100590,93,45000,15,5,9
21091663,302,57500,23,3,3
27798098,14,60000,5,5,9
27423980,27,60000,7,5,9
19465276,42,52500,8,4,11
28240143,217,60000,20,5,10
17339956,14,45000,5,5,9
17924624,145,47500,18,5,13
29267962,188,60000,21,5,10
20914497,218,57500,20,3,3
18208846,252,47500,22,5,13
21518895,278,57500,22,3,3
17850847,324,45000,24,5,10
20818237,51,57500,10,3,3
27098079,13,60000,6,5,10
18015789,306,47500,23,5,9
20660560,98,57500,14,3,3
19563523,226,52500,23,6,10
18222933,60,50000,10,4,7
21498423,168,57500,17,3,3
21950653,16,55000,6,4,8
18685433,127,50000,16,4,7
21602816,222,55000,20,4,8
22200936,51,55000,10,5,9
19647648,292,52500,25,5,6
21551430,349,55000,25,5,9
21533771,155,55000,18,4,8
21831613,171,57500,18,3,3
20354485,16,57500,6,3,3
17267078,24,45000,6,5,9
18836700,304,50000,24,4,7
18934346,184,50000,21,4,7
21919336,86,55000,15,4,8
17820355,55,47500,10,5,13
27727865,74,60000,11,5,9
20054456,81,52500,13,5,9
17853002,315,45000,22,5,9
18368740,105,50000,12,4,7
27404822,56,60000,10,5,10
27861237,112,60000,15,5,10
18093770,82,45000,12,5,9
28833927,238,60000,22,5,10
21369235,35,57500,8,3,3
21830492,267,55000,23,4,10
21064892,329,57500,25,3,3
27764736,347,60000,25,5,9
17489587,30,45000,7,5,10
19236000,14,52500,5,4,8
17863506,212,47500,20,5,12
27834200,199,60000,19,5,10
29577967,55,60000,14,5,10
18037657,99,47500,14,5,12
19576752,175,52500,19,5,6
17684483,115,47500,15,5,13
18592282,228,50000,19,4,7
21925194,269,55000,22,4,8
19005437,103,47500,16,5,13
17777977,45,45000,9,5,10
17787042,76,47500,12,5,13
18243848,70,50000,11,4,7
21357651,88,57500,11,3,3
19433483,322,50000,23,4,7
19252269,99,50000,15,4,7
17821269,150,45000,18,5,9
27523780,122,60000,17,5,9
21373699,95,55000,13,4,8
22146337,190,52500,18,5,5
22437911,73,55000,11,4,9
17817970,171,45000,17,5,10
19925123,128,52500,14,5,9
18766577,234,50000,22,4,7
19376842,168,50000,17,4,7
20675762,38,57500,7,3,3
17710793,96,45000,13,5,10
21473373,78,55000,12,4,8
17991515,288,45000,23,5,9
21073130,37,55000,8,4,9
19136442,33,52500,9,7,7
21403729,18,55000,5,4,8
19399656,15,52500,7,7,11
27659185,123,60000,16,5,10
18843131,172,50000,18,4,7
18184865,20,50000,6,4,7
20499477,13,57500,5,3,3
19680128,298,52500,22,5,9
22126098,267,55000,21,4,8
17832237,207,45000,21,5,10
19944041,112,52500,15,5,5
18460286,35,50000,7,4,7
19584935,217,52500,21,5,5
22705161,259,57500,24,3,3
20763841,118,57500,15,3,3
27195026,88,60000,12,5,10
18186271,35,50000,8,4,7
28474614,118,60000,13,5,9
28925721,268,60000,23,5,10
18327767,146,45000,16,5,10
20133445,125,52500,16,4,12
21310340,180,57500,19,3,3
19762410,309,52500,24,5,6
21717894,60,52500,10,4,7
21628820,30,55000,7,4,8
23594442,41,55000,9,4,8
18314243,75,50000,13,4,7
17916851,204,47500,19,5,12
17519251,36,47500,7,5,13
17978114,43,47500,8,5,9
17654181,65,47500,11,5,9
21747781,92,55000,14,5,9
20996003,86,52500,11,6,11
21888241,176,55000,19,4,8
18033099,97,45000,14,5,9
21688491,164,55000,17,5,9
21337332,215,52500,20,7,11
18499506,267,47500,21,5,13
21507919,153,55000,16,4,9
19247667,26,52500,6,5,7
17495168,58,45000,11,5,9
21383208,183,57500,21,3,3
17741302,84,47500,13,5,9
17363740,44,45000,8,5,9
21004860,132,52500,17,4,11
20365422,50,57500,9,3,3
17505927,54,45000,10,5,9
20568768,83,57500,12,3,3
21433304,162,57500,16,3,3
21709306,288,55000,24,4,8
20702250,68,57500,13,3,3
27432271,39,60000,8,5,10
27418086,54,60000,9,5,10
17905508,26,47500,6,5,13
18115242,268,47500,24,5,13
18410168,107,50000,14,4,7
18167088,13,50000,5,4,7
19455085,64,52500,12,5,9
29088903,148,60000,18,5,10
17875732,156,45000,19,5,9
19873098,331,45000,25,5,10
18888256,323,50000,25,3,7
