Tempo,max,n_filmes,n_cat,tamanho,horas
17384188,324,45000,24,5,24
17086699,24,45000,6,5,24
23379762,217,52500,21,5,24
20020525,99,50000,15,5,24
22069865,54,60000,9,5,24
18904954,127,50000,16,5,24
22671790,222,55000,20,5,24
22681523,132,52500,17,5,24
22977859,123,60000,16,5,24
19312044,190,52500,18,5,24
19342451,184,50000,21,5,24
18325435,36,47500,7,5,24
18971781,115,47500,15,5,24
17052855,14,45000,5,5,24
18008029,99,47500,14,5,24
17305434,82,45000,12,5,24
18745876,55,47500,10,5,24
27518048,98,57500,14,5,24
26305919,268,60000,23,5,24
20259977,269,55000,22,5,24
22295042,83,57500,12,5,24
19116933,81,52500,13,5,24
20448438,16,55000,6,5,24
20686107,248,50000,20,5,24
21217713,26,52500,6,5,24
19156129,105,50000,12,5,24
17477313,54,45000,10,5,24
16466023,146,45000,16,5,24
19875942,30,55000,7,5,24
20078103,172,50000,18,5,24
20390952,37,55000,8,5,24
18769613,60,50000,10,5,24
22357127,155,55000,18,5,24
20713235,64,52500,12,5,24
17462972,58,45000,11,5,24
20306534,86,55000,15,5,24
21360777,27,60000,7,5,24
22739261,347,60000,25,5,24
19437562,215,52500,20,5,24
16606532,93,45000,15,5,24
19015729,26,47500,6,5,24
33385526,16,57500,6,5,24
17262789,150,45000,18,5,24
17426826,331,45000,25,5,24
22793984,13,60000,6,5,24
22881150,217,60000,20,5,24
18283588,315,45000,22,5,24
22524482,148,60000,18,5,24
17952697,359,47500,25,5,24
17864905,35,50000,7,5,24
20793662,153,55000,16,5,24
22178866,128,52500,14,5,24
20795688,13,50000,5,5,24
22462127,118,60000,13,5,24
23885621,13,57500,5,5,24
18360151,65,47500,11,5,24
17608607,76,47500,12,5,24
19384685,175,52500,19,5,24
17584892,96,45000,13,5,24
20818658,288,55000,24,5,24
21274421,180,57500,19,5,24
18051334,57,47500,9,5,24
21025641,70,50000,11,5,24
19560172,84,47500,13,5,24
22195648,95,55000,13,5,24
26140443,122,60000,17,5,24
21483658,78,55000,12,5,24
21636265,304,50000,24,5,24
21358471,162,57500,16,5,24
22494899,39,60000,8,5,24
18459334,103,47500,16,5,24
20808887,73,55000,11,5,24
18165642,165,47500,17,5,24
23910978,188,60000,21,5,24
16386520,171,45000,17,5,24
20792684,349,55000,25,5,24
20709498,51,55000,10,5,24
23292053,267,55000,21,5,24
20191916,176,55000,19,5,24
19735773,125,52500,16,5,24
16865165,207,45000,21,5,24
23177469,238,60000,22,5,24
24705561,199,60000,19,5,24
19006047,168,50000,17,5,24
22246157,183,57500,21,5,24
20472664,164,55000,17,5,24
22343015,74,60000,11,5,24
22055325,112,60000,15,5,24
19469912,33,52500,9,5,24
23832777,302,57500,23,5,24
25408310,273,60000,24,5,24
21930951,171,57500,18,5,24
19289067,322,50000,23,5,24
19171925,14,52500,5,5,24
19932725,292,52500,25,5,24
19000217,234,50000,22,5,24
20709136,35,57500,8,5,24
25567345,56,60000,10,5,24
19636959,41,55000,9,5,24
18982585,75,50000,13,5,24
18768739,35,50000,8,5,24
18505331,228,50000,19,5,24
20875158,86,52500,11,5,24
22368505,92,55000,14,5,24
18444171,20,50000,6,5,24
22434092,278,57500,22,5,24
21405404,88,57500,11,5,24
19044419,42,52500,8,5,24
18109702,252,47500,22,5,24
22171925,88,60000,12,5,24
22992233,118,57500,15,5,24
16587322,97,45000,14,5,24
21921208,14,60000,5,5,24
17588721,45,45000,9,5,24
17793276,14,47500,5,5,24
18490842,145,47500,18,5,24
20698334,50,57500,9,5,24
19077336,112,52500,15,5,24
21111516,38,57500,7,5,24
22119518,168,57500,17,5,24
20824163,60,52500,10,5,24
20341059,15,52500,7,5,24
17923149,268,47500,24,5,24
18641769,306,47500,23,5,24
19557445,204,47500,19,5,24
17441164,44,45000,8,5,24
18073431,267,47500,21,5,24
17811894,156,45000,19,5,24
18444113,323,50000,25,5,24
22401490,208,45000,20,5,24
17349793,30,45000,7,5,24
20009734,18,55000,5,5,24
21679603,218,57500,20,5,24
18313816,35,50000,9,5,24
21709280,259,57500,24,5,24
20826149,267,55000,23,5,24
21075036,51,57500,10,5,24
19574445,298,52500,22,5,24
18891558,107,50000,14,5,24
17171448,43,47500,8,5,24
22059632,68,57500,13,5,24
19782231,226,52500,23,5,24
21423027,329,57500,25,5,24
18319554,212,47500,20,5,24
21551138,309,52500,24,5,24
18337722,288,45000,23,5,24
25513331,55,60000,14,5,24
