0,1,2,3
597070893 , 85000 , 9 , 24
410407067 , 55000 , 21 , 24
361817499 , 55000 , 18 , 24
235115324 , 60000 , 7 , 24
432094865 , 70000 , 14 , 24
372445294 , 70000 , 11 , 24
296228775 , 60000 , 11 , 24
471676898 , 60000 , 21 , 24
614148286 , 55000 , 32 , 24
507063496 , 95000 , 9 , 24
409493186 , 45000 , 31 , 24
691478793 , 65000 , 26 , 24
695633812 , 95000 , 13 , 24
424185884 , 90000 , 8 , 24
368630694 , 55000 , 15 , 24
486161334 , 50000 , 28 , 24
647533210 , 65000 , 22 , 24
697752033 , 75000 , 18 , 24
519517248 , 75000 , 15 , 24
448265549 , 80000 , 11 , 24
470491712 , 50000 , 29 , 24
281612031 , 80000 , 5 , 24
263201198 , 60000 , 9 , 24
413179933 , 60000 , 18 , 24
249798753 , 60000 , 8 , 24
555050465 , 55000 , 29 , 24
640877340 , 60000 , 28 , 24
831214015 , 80000 , 21 , 24
482356790 , 75000 , 12 , 24
803711944 , 70000 , 23 , 24
431017246 , 55000 , 22 , 24
327447317 , 70000 , 9 , 24
257301872 , 65000 , 7 , 24
722762284 , 85000 , 15 , 24
625868446 , 60000 , 24 , 24
525252928 , 85000 , 10 , 24
311212292 , 65000 , 8 , 24
336495504 , 65000 , 11 , 24
420723586 , 50000 , 25 , 24
241918527 , 50000 , 10 , 24
268737987 , 45000 , 18 , 24
604275810 , 95000 , 11 , 24
395365612 , 45000 , 28 , 24
343722698 , 95000 , 5 , 24
254182377 , 50000 , 12 , 24
592263593 , 80000 , 15 , 24
475505057 , 55000 , 24 , 24
391922130 , 65000 , 14 , 24
527684784 , 70000 , 17 , 24
307688419 , 65000 , 9 , 24
536074616 , 50000 , 37 , 24
258694539 , 45000 , 16 , 24
503831041 , 55000 , 26 , 24
446831875 , 45000 , 35 , 24
428528169 , 50000 , 23 , 24
555405636 , 65000 , 19 , 24
572356403 , 50000 , 36 , 24
531978283 , 50000 , 31 , 24
283903535 , 70000 , 7 , 24
878342865 , 80000 , 22 , 24
247533165 , 70000 , 5 , 24
476274161 , 90000 , 9 , 24
250074808 , 50000 , 11 , 24
471827255 , 65000 , 17 , 24
571318649 , 75000 , 16 , 24
504036835 , 85000 , 11 , 24
353939932 , 55000 , 17 , 24
519807952 , 90000 , 10 , 24
599717607 , 70000 , 20 , 24
412748865 , 65000 , 15 , 24
406911254 , 55000 , 20 , 24
316570723 , 70000 , 6 , 24
1002726266 , 95000 , 17 , 24
933223581 , 90000 , 18 , 24
589649822 , 60000 , 25 , 24
590041929 , 85000 , 13 , 24
332720143 , 50000 , 19 , 24
464930000 , 55000 , 23 , 24
430747788 , 70000 , 13 , 24
204780103 , 50000 , 8 , 24
316610094 , 50000 , 18 , 24
400525851 , 90000 , 7 , 24
446041921 , 45000 , 32 , 24
373868828 , 75000 , 9 , 24
313451129 , 55000 , 14 , 24
475727392 , 45000 , 40 , 24
291753507 , 60000 , 10 , 24
442201146 , 45000 , 34 , 24
221880027 , 45000 , 10 , 24
384184693 , 50000 , 22 , 24
446643199 , 95000 , 7 , 24
380013417 , 75000 , 8 , 24
621997501 , 55000 , 30 , 24
313368371 , 55000 , 11 , 24
257443151 , 45000 , 11 , 24
408713119 , 75000 , 10 , 24
371487619 , 45000 , 27 , 24
539883828 , 50000 , 35 , 24
462745504 , 75000 , 13 , 24
199654777 , 60000 , 5 , 24
582779013 , 65000 , 21 , 24
198373156 , 55000 , 6 , 24
762284406 , 65000 , 28 , 24
282347940 , 50000 , 15 , 24
792300486 , 75000 , 23 , 24
909645909 , 85000 , 20 , 24
471046998 , 95000 , 8 , 24
531176019 , 85000 , 12 , 24
294770289 , 45000 , 21 , 24
370087960 , 80000 , 8 , 24
455122241 , 45000 , 33 , 24
787927076 , 75000 , 21 , 24
882012974 , 85000 , 19 , 24
415697519 , 60000 , 17 , 24
262843027 , 55000 , 10 , 24
485345191 , 80000 , 12 , 24
211103076 , 55000 , 7 , 24
611539949 , 60000 , 27 , 24
299390112 , 45000 , 22 , 24
574070634 , 80000 , 14 , 24
230749228 , 55000 , 8 , 24
492767866 , 65000 , 18 , 24
769037181 , 75000 , 22 , 24
610506298 , 75000 , 17 , 24
256549111 , 75000 , 5 , 24
809608454 , 95000 , 15 , 24
255002922 , 50000 , 13 , 24
506289707 , 70000 , 16 , 24
576308981 , 65000 , 20 , 24
401740143 , 70000 , 10 , 24
400741643 , 65000 , 12 , 24
712707264 , 65000 , 27 , 24
162802348 , 45000 , 6 , 24
390525479 , 55000 , 19 , 24
634499442 , 70000 , 21 , 24
578079069 , 70000 , 19 , 24
218537064 , 60000 , 6 , 24
620034232 , 85000 , 14 , 24
401046984 , 45000 , 30 , 24
361008386 , 45000 , 26 , 24
169266163 , 45000 , 7 , 24
365040721 , 85000 , 7 , 24
798500320 , 85000 , 18 , 24
671892094 , 80000 , 17 , 24
243201205 , 55000 , 9 , 24
431776859 , 50000 , 26 , 24
350583759 , 50000 , 20 , 24
732756506 , 90000 , 15 , 24
564430543 , 50000 , 34 , 24
551890372 , 50000 , 32 , 24
980035446 , 90000 , 19 , 24
391293303 , 70000 , 12 , 24
635804325 , 90000 , 12 , 24
439606057 , 45000 , 36 , 24
702260292 , 80000 , 18 , 24
284428565 , 45000 , 20 , 24
221284258 , 65000 , 5 , 24
667243698 , 65000 , 25 , 24
753746214 , 85000 , 17 , 24
458752663 , 65000 , 16 , 24
467361172 , 45000 , 38 , 24
409340710 , 75000 , 11 , 24
685327018 , 95000 , 12 , 24
358814090 , 60000 , 15 , 24
180511082 , 50000 , 6 , 24
344561325 , 60000 , 12 , 24
236176135 , 45000 , 8 , 24
368100146 , 45000 , 23 , 24
227575941 , 45000 , 9 , 24
734083943 , 75000 , 19 , 24
151885527 , 45000 , 5 , 24
382962238 , 60000 , 16 , 24
241485656 , 45000 , 14 , 24
280193244 , 55000 , 12 , 24
785486948 , 95000 , 14 , 24
668589290 , 60000 , 29 , 24
306856684 , 85000 , 5 , 24
609754746 , 55000 , 31 , 24
192371960 , 50000 , 7 , 24
717427254 , 85000 , 16 , 24
400024111 , 45000 , 29 , 24
842598089 , 90000 , 17 , 24
291356814 , 55000 , 13 , 24
236861651 , 65000 , 6 , 24
519348915 , 60000 , 22 , 24
381245602 , 55000 , 16 , 24
465788814 , 85000 , 8 , 24
755743037 , 70000 , 22 , 24
496032668 , 60000 , 14 , 24
564089246 , 45000 , 37 , 24
356629740 , 75000 , 7 , 24
326736675 , 70000 , 8 , 24
293331530 , 50000 , 16 , 24
542091055 , 55000 , 28 , 24
544335179 , 80000 , 13 , 24
573543488 , 95000 , 10 , 24
781347859 , 80000 , 20 , 24
469142929 , 70000 , 15 , 24
317456376 , 65000 , 10 , 24
689022363 , 75000 , 20 , 24
680654659 , 60000 , 30 , 24
486874445 , 55000 , 25 , 24
715144409 , 90000 , 14 , 24
341170750 , 85000 , 6 , 24
303830273 , 50000 , 17 , 24
534389169 , 55000 , 27 , 24
288167384 , 45000 , 19 , 24
261802712 , 45000 , 12 , 24
560792736 , 50000 , 33 , 24
453167300 , 50000 , 24 , 24
865380929 , 90000 , 16 , 24
758664570 , 70000 , 25 , 24
340989641 , 80000 , 7 , 24
478323331 , 45000 , 39 , 24
268488974 , 45000 , 17 , 24
291595949 , 75000 , 6 , 24
308478099 , 80000 , 6 , 24
492929058 , 75000 , 14 , 24
165408573 , 50000 , 5 , 24
554221360 , 70000 , 18 , 24
757821909 , 80000 , 19 , 24
217023548 , 50000 , 9 , 24
430119109 , 80000 , 10 , 24
637083461 , 90000 , 13 , 24
388790558 , 65000 , 13 , 24
653255347 , 80000 , 16 , 24
640335492 , 55000 , 33 , 24
492267367 , 50000 , 27 , 24
774587224 , 70000 , 24 , 24
185255644 , 55000 , 5 , 24
466164711 , 60000 , 20 , 24
551050661 , 90000 , 11 , 24
592512682 , 60000 , 26 , 24
652823700 , 65000 , 24 , 24
513523078 , 60000 , 23 , 24
875908318 , 95000 , 16 , 24
254138467 , 45000 , 15 , 24
348797989 , 45000 , 25 , 24
318138884 , 90000 , 5 , 24
232004769 , 45000 , 13 , 24
335527831 , 60000 , 13 , 24
275461453 , 50000 , 14 , 24
612668750 , 65000 , 23 , 24
501318212 , 50000 , 30 , 24
379484183 , 45000 , 24 , 24
357595677 , 50000 , 21 , 24
468903500 , 95000 , 6 , 24
527693678 , 60000 , 19 , 24
505337834 , 80000 , 9 , 24
416652389 , 90000 , 6 , 24
